Longitude,Latitude
30.43158,35.650944
30.527151,35.546744
30.730507,35.281771
30.792204,35.090058
30.934148,35.020086
31.218088,34.881316
31.503313,34.746784
31.64603,34.680251
31.787612,34.611524
31.9298,34.544475
32.071617,34.476929
32.211847,34.406257
32.351724,34.33515
32.493481,34.268469
32.717834,34.322869
32.943771,34.379627
33.31299,34.371926
33.455545,34.307295
33.597631,34.241978
33.908756,34.417992
34.13463,34.47031
34.360956,34.522563
34.510439,34.472059
34.741247,34.532267
35.05859,34.710938
35.160237,34.824036
35.105098,34.961587
35.073388,35.050015
35.036859,35.219211
34.827574,35.139979
34.593717,35.077418
34.134851,34.96695
33.908449,34.916384
33.682025,34.864789
33.459544,34.820439
33.311771,34.875951
33.163765,34.931212
32.944687,34.892931
32.79812,34.951399
32.515037,35.0907
32.318857,35.360787
32.17642,35.430157
32.033316,35.49844
31.89059,35.567899
31.679142,35.810713
31.393229,35.951859
31.104692,36.088696
30.960036,36.156792
30.815149,36.224739
30.669856,36.292129
30.576275,36.371773
30.562844,36.259918
30.550741,36.158913
30.535652,36.032707
30.503515,35.847836
30.43158,35.650944
