Longitude,Latitude
19.425414,37.281186
19.455944,37.115429
19.567776,36.991401
19.652798,36.863841
19.717573,36.719214
19.983955,36.378065
20.035491,36.227886
20.119247,35.9705
20.233561,35.853087
20.339301,35.728067
20.439885,35.597805
20.538405,35.459836
20.64615,35.303326
20.825557,35.206839
21.010972,35.133906
21.162465,35.025753
21.30875,34.933292
21.450041,34.839295
21.58946,34.748397
21.722759,34.652759
21.848908,34.550398
21.972378,34.442933
22.273252,34.387011
22.535746,34.167961
22.711907,34.159778
22.883879,34.146113
23.054302,34.129015
23.294989,33.981079
23.459637,33.956096
23.62556,33.928064
23.795648,33.897615
24.034945,33.725056
24.217104,33.678409
24.387045,33.590689
24.545895,33.50683
24.710852,33.408725
24.894857,33.348747
25.056914,33.290872
25.215965,33.238122
25.50629,33.23506
25.722431,33.396883
25.873918,33.480108
26.012066,33.552812
26.14116,33.626969
26.25425,33.712196
26.359045,33.809734
26.469543,33.914442
26.576218,34.026573
26.843,34.146798
27.107725,34.258109
27.205492,34.362978
27.300914,34.468577
27.392192,34.579731
27.650131,34.775797
27.691599,34.898797
27.801385,35.406874
27.922581,35.675959
28.021279,35.818945
28.124112,35.94633
28.315646,36.215844
28.431625,36.331599
28.647033,36.477778
28.685404,36.585714
28.57591,36.519641
28.426838,36.4119
28.302537,36.304579
28.17525,36.178888
27.949439,35.995897
27.842283,35.899622
27.693434,35.776849
27.503312,35.677959
27.29584,35.481805
27.138837,35.380237
27.032548,35.242775
26.734807,35.035368
26.404806,35.039977
26.124795,35.168634
25.870037,35.296737
25.685514,35.317536
25.515882,35.396056
25.352309,35.465382
25.185048,35.536892
25.024506,35.618135
24.84943,35.584518
24.565729,35.663335
24.416146,35.707723
24.117267,35.690916
23.95111,35.742577
23.733408,35.910652
23.488155,36.027726
23.364822,36.132192
23.256877,36.3969
23.06218,36.635241
23.024605,36.778619
23.035473,37.021234
22.961997,37.153438
22.888503,37.282578
22.812151,37.405533
22.570941,37.603363
22.438926,37.697175
22.152991,37.807679
21.972126,37.817701
21.785258,37.814508
21.599224,37.81223
21.41529,37.827299
21.137774,37.825111
20.894122,37.979583
20.758129,38.065346
20.631315,38.099626
20.499327,38.182135
20.31875,38.210021
20.276524,38.114524
20.206103,38.004873
20.102325,37.897984
19.996121,37.7942
19.89165,37.691796
19.781159,37.587905
19.665596,37.483807
19.546484,37.381096
19.425414,37.281186
