url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc/blob/main/Example2_Mediterranean.md,71,2
/antonioscalaunina/pyANTI-FASc,53,6
/antonioscalaunina/pyANTI-FASc/edit/main/Example2_Mediterranean.md,46,1
/antonioscalaunina/pyANTI-FASc/tree/main,37,3
/antonioscalaunina/pyANTI-FASc/tree/main/bin,34,4
/antonioscalaunina/pyANTI-FASc/tree/main/config_files/Parameters,20,3
/antonioscalaunina/pyANTI-FASc/blob/main/Example1_Tohoku.md,19,2
/antonioscalaunina/pyANTI-FASc/upload,17,1
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,14,4
/antonioscalaunina/pyANTI-FASc/edit/main/Example1_Tohoku.md,12,1
