url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,15,5
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/input.json,6,3
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,6,3
/antonioscalaunina/pyANTI-FASc/tree/main/config_files/Parameters,6,3
/antonioscalaunina/pyANTI-FASc/commit/a6212ccf8a355283a7e2554487b5ed74f4300bff,6,2
/antonioscalaunina/pyANTI-FASc/commits/main,4,1
/antonioscalaunina/pyANTI-FASc/commits/main/bin,4,1
/antonioscalaunina/pyANTI-FASc/releases/tag/v1.0.0,4,1
/antonioscalaunina/pyANTI-FASc/blob/main/ANTIFASc.yml,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/README.md,3,2
