url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,11,7
/antonioscalaunina/pyANTI-FASc/tree/main/bin,6,4
/antonioscalaunina/pyANTI-FASc/tree/main/bin/utils,6,3
/antonioscalaunina/pyANTI-FASc/blob/main/bin/utils/mesh.py,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/bin/utils/slab.py,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/bin/antifasc_main.ipynb,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/bin/antifasc_main.py,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/Example1_Tohoku.md,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/utils/sz_slabs/makran2/subfaults/makran2_mesh_nodes.dat,1,1
/antonioscalaunina/pyANTI-FASc/tree/main,1,1
