url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,13,7
/antonioscalaunina/pyANTI-FASc/tree/main,9,3
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs,9,2
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/scaling_relationship.json,6,3
/antonioscalaunina/pyANTI-FASc/tree/main/utils,5,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/alaskaaleutians/subfaults,5,2
/antonioscalaunina/pyANTI-FASc/tree/main/bin,3,3
/antonioscalaunina/pyANTI-FASc/blob/main/bin/antifasc_main.py,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/bin/utils/slab.py,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/scaling_relationship_Tohoku.json,3,2
