time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,2,2,2,1
2026-04-08 00:00:00+00:00,19,8,5,1
2026-04-09 00:00:00+00:00,15,6,0,0
2026-04-10 00:00:00+00:00,25,9,2,1
2026-04-11 00:00:00+00:00,33,10,0,0
2026-04-12 00:00:00+00:00,4,4,0,0
2026-04-13 00:00:00+00:00,105,30,77,4
2026-04-14 00:00:00+00:00,42,16,36,2
2026-04-15 00:00:00+00:00,89,33,85,4
2026-04-16 00:00:00+00:00,58,23,15,3
2026-04-17 00:00:00+00:00,301,109,183,3
2026-04-18 00:00:00+00:00,45,17,5,2
2026-04-19 00:00:00+00:00,27,12,1,1
2026-04-20 00:00:00+00:00,54,25,1,1
