url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,9,6
/antonioscalaunina/pyANTI-FASc/tree/main/bin,4,3
/antonioscalaunina/pyANTI-FASc/blob/main/bin/utils/slab.py,2,2
/antonioscalaunina/pyANTI-FASc/tree/main/bin/utils,2,2
/antonioscalaunina/pyANTI-FASc/commit/42bbb38ead5765ebc5ed98d6c2a03fdd15a7ed79,2,1
/antonioscalaunina/pyANTI-FASc/releases/tag/v1.2.0,2,1
/antonioscalaunina/pyANTI-FASc/blob/ca34d7793b51a16b6eeddff39eea791f1c524c45/README.md,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/ANTIFASc.yml,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/LICENSE,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/README.md,1,1
