time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,12,8,1,1
2026-03-30 00:00:00+00:00,12,8,0,0
2026-03-31 00:00:00+00:00,18,9,16,2
2026-04-01 00:00:00+00:00,15,6,1,1
2026-04-02 00:00:00+00:00,92,50,107,3
2026-04-03 00:00:00+00:00,404,156,279,3
2026-04-04 00:00:00+00:00,10,6,1,1
2026-04-05 00:00:00+00:00,4,3,4,1
2026-04-06 00:00:00+00:00,3,3,0,0
2026-04-07 00:00:00+00:00,2,2,2,1
2026-04-08 00:00:00+00:00,19,8,5,1
2026-04-09 00:00:00+00:00,15,6,0,0
2026-04-10 00:00:00+00:00,25,9,2,1
2026-04-11 00:00:00+00:00,33,10,0,0
