url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,10,4
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/param_var.dat,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/config_files/Parameters,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/output,2,1
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/input.json,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/Rigidity_variation_Mak.txt,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/Rigidity_variation.txt,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/input/folder_description.txt,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/output/folder_description.txt,1,1
