time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,3,3,0,0
2026-08-29 00:00:00+00:00,1,1,7,1
2026-08-30 00:00:00+00:00,3,2,0,0
2026-08-31 00:00:00+00:00,110,89,0,0
2026-09-01 00:00:00+00:00,3,3,0,0
2026-09-02 00:00:00+00:00,6,6,0,0
2026-09-03 00:00:00+00:00,11,10,1,1
2026-09-04 00:00:00+00:00,20,13,0,0
2026-09-05 00:00:00+00:00,10,5,1,1
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,1,1,3,2
2026-09-08 00:00:00+00:00,1,1,4,2
2026-09-09 00:00:00+00:00,3,2,2,1
2026-09-10 00:00:00+00:00,4,3,1,1
