time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,16,6,2,1
2026-05-27 00:00:00+00:00,29,12,38,6
2026-05-28 00:00:00+00:00,15,5,4,2
2026-05-29 00:00:00+00:00,20,7,2,2
2026-05-30 00:00:00+00:00,40,15,1,1
2026-05-31 00:00:00+00:00,12,7,1,1
2026-06-01 00:00:00+00:00,16,5,1,1
2026-06-02 00:00:00+00:00,23,9,4,1
2026-06-03 00:00:00+00:00,46,23,10,2
2026-06-04 00:00:00+00:00,8,4,1,1
2026-06-05 00:00:00+00:00,6,4,22,1
2026-06-06 00:00:00+00:00,4,3,0,0
2026-06-07 00:00:00+00:00,15,8,0,0
2026-06-08 00:00:00+00:00,10,4,4,2
