url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,22,9
/antonioscalaunina/pyANTI-FASc/blob/main/Example1_Tohoku.md,10,1
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/scaling_relationship.json,4,3
/antonioscalaunina/pyANTI-FASc/tree/main,3,3
/antonioscalaunina/pyANTI-FASc/tree/main/bin,3,3
/antonioscalaunina/pyANTI-FASc/tree/main/utils,3,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs,3,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/makran2/subfaults,3,1
/antonioscalaunina/pyANTI-FASc/tree/main/bin/utils,2,2
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,2,2
