time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-21 00:00:00+00:00,14,4,1,1
2026-07-22 00:00:00+00:00,19,10,12,3
2026-07-23 00:00:00+00:00,10,5,1,1
2026-07-24 00:00:00+00:00,3,3,2,2
2026-07-25 00:00:00+00:00,28,9,0,0
2026-07-26 00:00:00+00:00,17,8,0,0
2026-07-27 00:00:00+00:00,8,3,0,0
2026-07-28 00:00:00+00:00,16,5,0,0
2026-07-29 00:00:00+00:00,16,6,0,0
2026-07-30 00:00:00+00:00,18,7,2,2
2026-07-31 00:00:00+00:00,8,3,12,2
2026-08-01 00:00:00+00:00,16,6,0,0
2026-08-02 00:00:00+00:00,8,4,2,1
2026-08-03 00:00:00+00:00,1,1,1,1
