url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,21,9
/antonioscalaunina/pyANTI-FASc/blob/main/Example1_Tohoku.md,10,4
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs,8,2
/antonioscalaunina/pyANTI-FASc/tree/main,7,4
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,5,4
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/scaling_relationship.json,5,3
/antonioscalaunina/pyANTI-FASc/tree/main/src,5,3
/antonioscalaunina/pyANTI-FASc/tree/main/bin,4,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils,3,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/japan/subfaults,3,1
