url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc/tree/main/bin,4,2
/antonioscalaunina/pyANTI-FASc/tree/main,3,3
/antonioscalaunina/pyANTI-FASc,3,2
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/makran2/subfaults,3,1
/antonioscalaunina/pyANTI-FASc/blob/main/bin/utils/slab.py,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/bin/utils,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/utils,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs,2,1
/antonioscalaunina/pyANTI-FASc/tree/main/utils/sz_slabs/makran2,2,1
/antonioscalaunina/pyANTI-FASc/blob/main/bin/k223d.x,1,1
