url_path,views_total,views_unique
/antonioscalaunina/pyANTI-FASc,4,2
/antonioscalaunina/pyANTI-FASc/blob/main/README.md,3,2
/antonioscalaunina/pyANTI-FASc/blob/main/bin/antifasc_main.ipynb,2,2
/antonioscalaunina/pyANTI-FASc/tree/main/config_files,2,2
/antonioscalaunina/pyANTI-FASc/tree/main/config_files/Parameters,2,2
/antonioscalaunina/pyANTI-FASc/tree/main/bin,2,1
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/param_var.dat,1,1
/antonioscalaunina/pyANTI-FASc/blob/main/config_files/Parameters/scaling_relationship_60_90.json,1,1
/antonioscalaunina/pyANTI-FASc/tree/main/bin/utils,1,1
