"V1","V2","V3"
-26.4100000003941,-55.4633333333234,0
-26.9331398144424,-55.728395025709,10.5954165830963
-27.3349722244227,-55.9400000379058,40
-25.7062723081704,-55.5890521037816,0
-26.3405608947054,-55.9349591360667,9.0325879263664
-26.9109122187179,-56.1988752266361,40
-25.133157049144,-55.8949128212125,0
-25.864417951221,-56.2092296811574,9.38142304429556
-26.5142009772748,-56.4569896548435,40
-24.6624177245336,-56.3004462665062,0
-25.4915700193897,-56.5406666931433,9.85370004842455
-26.21139108999,-56.7374763838599,40
-24.2757112306362,-56.7137273065076,0
-25.1959324359816,-56.9064466888725,8.48994194125143
-25.995295317529,-57.0466950864679,40
-24.0573182938302,-57.1529986447913,0
-25.0352466828259,-57.2871595844821,9.87898242621547
-25.9032308593274,-57.3766214601044,40
-23.8821608811348,-57.5948587363721,0
-24.9198462947227,-57.6647686768158,10.1435765725936
-25.8415393453513,-57.7006838427016,40
-23.8748411763754,-58.0413608407839,0
-24.9099018946574,-58.0234312670546,9.89432976765328
-25.8090256469238,-58.0275018883507,40
-23.9524717233783,-58.486112241072,0
-24.927961907022,-58.4069314423313,9.75830650717877
-25.7594142295235,-58.3703702950361,40
-24.1498630093081,-58.9468237342234,0
-25.0437077186399,-58.7924613428705,9.46746462265032
-25.7924650497394,-58.7095575712388,40
-24.5600095057555,-59.3770484832885,0
-25.3217013116349,-59.1790997544406,9.05235158339651
-25.9239626436771,-59.0444205235462,40
-25.0269213326167,-59.7679473849498,0
-25.7448824512633,-59.528626670977,9.68015194338362
-26.2845964332929,-59.3299432720129,40
-25.5916068399882,-60.0920766009374,0
-26.2607342366543,-59.807736991217,10.1183969073094
-26.7802399542093,-59.5778480497326,40
-26.1450148085801,-60.3983148075042,0
-26.7429970987129,-60.0713224393443,9.6290342210367
-27.2746689002183,-59.843546116045,40
-26.7378576087598,-60.6031758476301,0
-27.2654817598545,-60.3007480522523,8.6374403139311
-27.7302529076344,-60.1297468376527,40
