1 9 68 85
2 10 35 43
3 8 50 41
4 4 66 69
5 4 52 66
6 4 69 56
7 3 104 97
8 9 74 70
9 7 80 92
10 5 88 98
11 12 37 39
12 12 39 34
13 7 83 80
14 5 102 91
15 6 58 47
16 3 97 96
17 1 101 105
18 8 38 48
19 8 48 50
20 6 55 58
21 18 49 67
22 13 40 42
23 22 65 51
24 25 93 81
25 17 60 63
26 26 86 71
27 33 100 99
28 21 46 57
29 22 61 79
30 24 72 87
31 16 62 64
32 18 68 53
33 23 55 54
34 32 103 94
35 24 88 77
36 28 75 73
37 29 78 89
38 14 36 45
39 21 74 76
40 23 83 84
41 18 67 68
42 13 42 35
43 22 51 50
44 25 81 66
45 17 63 52
46 26 71 69
47 33 99 104
48 21 57 74
49 22 79 80
50 24 87 88
51 16 49 37
52 18 40 39
53 23 65 83
54 32 93 102
55 24 60 58
56 28 86 97
57 29 100 101
58 14 46 38
59 21 61 48
60 23 72 55
61 16 64 49
62 18 53 40
63 23 54 65
64 32 94 93
65 24 77 60
66 28 73 86
67 29 89 100
68 14 45 46
69 21 76 61
70 23 84 72
71 11 82 62
72 9 70 68
73 6 44 55
74 3 96 103
75 5 91 88
76 2 59 75
77 2 75 78
78 10 43 36
79 9 90 74
80 7 95 83
81 68 67 85
82 35 42 43
83 50 51 41
84 66 81 69
85 52 63 66
86 69 71 56
87 104 99 97
88 74 57 70
89 80 79 92
90 88 87 98
91 37 49 39
92 39 40 34
93 83 65 80
94 102 93 91
95 58 60 47
96 97 86 96
97 101 100 105
98 38 46 48
99 48 61 50
100 55 72 58
101 49 64 67
102 40 53 42
103 65 54 51
104 93 94 81
105 60 77 63
106 86 73 71
107 100 89 99
108 46 45 57
109 61 76 79
110 72 84 87
111 62 82 64
112 68 70 53
113 55 44 54
114 103 96 94
115 88 91 77
116 75 59 73
117 78 75 89
118 36 43 45
119 74 90 76
120 83 95 84
121 67 27 85
122 42 19 43
123 51 15 41
124 81 26 69
125 63 25 66
126 71 20 56
127 99 28 97
128 57 19 70
129 79 30 92
130 87 31 98
131 49 18 39
132 40 13 34
133 65 22 80
134 93 25 91
135 60 17 47
136 86 26 96
137 100 33 105
138 46 21 48
139 61 22 50
140 72 24 58
141 64 27 67
142 53 19 42
143 54 15 51
144 94 26 81
145 77 25 63
146 73 20 71
147 89 28 99
148 45 19 57
149 76 30 79
150 84 31 87
151 82 27 64
152 70 19 53
153 44 15 54
154 96 26 94
155 91 25 77
156 59 20 73
157 75 28 89
158 43 19 45
159 90 30 76
160 95 31 84
